,Concetto 1,Concetto 2,Concetto 3,Concetto 4,Concetto 5,Concetto 6,Concetto 7,Concetto 8
Definizione 1,"the concept of fairness, equality for all the parts involved",the quality of being able to wait for a long period of time,quality of a person that is attached to money and tends to accumulate it,the discipline that regulates territorial rules,something edible,item that emits warmth,rideable mean of transportation,item used to connect artificial parts together
Definizione 2,condition of being morally correct,capacity to tolerate problems,excessive desire for something,activities associated with covernance of an area,subtance that animals eat,thing that radiated head,thing used for transporting people or goods,metal pin with raised helical thread running around it
Definizione 3,abstract concept that refers to what is right,behavior of people inclined to bear unpleasant facts,typical attitude of non generosity; behavior of not sharing anything with anyone,abstract concept of governance inside a social context,thing needed to sustain a human being or an animal,object used to heat and raise temperature in a room,thing that provides a way to transport other things or people,little metal object which can be inserted in a support
Definizione 4,moral principle determining what is right,ability to tolerate stress over a period of time,intense desire to acquire or possess more than needed,the activity of governing an entity and its affairs,material used by organisms for maintaining the life processes,something that can produce heat,an artifact create to move things in space,metal object threaded used to produce other artifacts
Definizione 5,entity that allows compliance with the rules,ability to be quiet or tolerate problems,attachment to money,entity based on sets of principles that guide a community,one or more edible objects,heat diffusion object,object used as transportation,metal object used to fix componible elements
Definizione 6,"abstract concept based on the idea of legal fairness, a front of a code of laws shared by a community",feeling opposed to anger,typical to those why do not want to share object or money,activities for the good of the state,edible substances by humans or animals,object that emanates hot air,objects used to move between places,objects that is used to look and join other components
Definizione 7,To respect other people and their rights. Usually administrated in public courts,To be able to suppress angriness or to be able to mantain tranquility in hard situations,To not desire to spend money in non useful things,To be able to reach common objectives and ideas according to the voters and/or a particular population,What it can be eaten by a living thing without dying,Object that issues heat usually in homes or familiar places,"Object that has some common parts, such as wheels and engine that is able to transport people or objects from some point to another","Object useful to fix other objects on some surfaces, for example a painting on the wall"
Definizione 8,being right and just,the ability to be quiet and tolerant,strong desire and attachment to money,the science or art of political government,something edible,metal object that contains hot water,"a moving object, with wheels or similar, that carries people",metal object with the shape of a spiral used to put things together
Definizione 9,the quality of being fair and reasonable,"the capacity to accept or tolerate delay, problems, or suffering without becoming annoyed or anxious",excessive or insatiable desire for wealth or gain,"the activities associated with the governance of a country or area, especially the debate between parties having power",any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth,"equipment or devices used to provide heat, especially to a building","a thing used for transporting people or goods, especially on land, such as a car, lorry, or cart","a short, slender, sharp-pointed metal pin with a raised helical thread running around it and a slotted head, used to join things together by being rotated so that it pierces wood or other material and is held tightly in place"
Definizione 10,when most of points of view agree with,ability to make everything with calm,impossibility to be generous towards the others and himself,organization aimed to amministrate a state,sostance needed to feed a living being,"comoponent used to warm an ambient, whihch can be supplied with hot water or gas","stell structure with four wheels, used by human to move from one point to another",structural element needed to fix two parts
Definizione 11,idea of fair application of laws,propension to have low reactivity to events,obsession of needing to increase one's possession,sience of ensuring cohesion of a population,item that a living organism can transform into energy to perform its vital functions,item of furniture to increase the temperature of a room,moving object that facilitates transportation,long and thin pointy item piercing two objects to hold them together
Definizione 12,recognition and respect of people rights,ability to wait or to continue doing something despite difficulties,very strong wish to continuously get more of something,activities of the government or people who try to influence the way a country is governed,something that people and animals eat or plants absorb to keep them alive,"container filled with water, that sends out heat, often as part of heating system","machine usually with wheels and engine, used for transporting people or goods on land, especially on roads","thin, pointed piece of metal with a raised edge twisting round along its length and a flat top with a cut in it, used to join things together"
